frames,XGB 4,XGB 2,RF 4,RF 2
55,-0.0001224328593997311,0.0,0.0005230823240301885,4.8709847288055015e-05
56,-0.0002501316482359813,0.0,0.0004932420572230978,-4.2127435492354355e-05
57,0.0008684395295769254,-9.87361769352361e-05,0.0008605406354221542,2.6329647182743444e-06
58,0.000562576794804237,0.0,0.0006301562225732786,-3.993329822712758e-05
59,0.0018663331578023024,0.0,0.0007477619799894697,1.0093031420051653e-05
60,0.0024578725645075868,0.00021151483236788357,0.0014779708618571216,4.2127435492369154e-05
61,0.001710110584518121,2.7646129541839907e-05,0.002199403194663848,-5.529225908371867e-05
62,-0.0005564332104617005,-0.00019483938915220526,0.0007258206073371909,-9.303142004563059e-05
63,-0.0010773213972266494,-4.827101983508515e-06,-0.0002589081972968144,-0.00011541162015095141
64,0.0,0.0,3.3789713884494844e-05,1.930840793401186e-05
65,-0.0001535896085659664,-3.0717921713200684e-06,0.0010408987186238394,-1.755309812181971e-05
66,-0.00012374934175887197,0.0,6.4068808144635e-05,-9.65420396700593e-06
67,0.0,0.0,0.0007929612076531497,3.6422678602782146e-05
68,-0.000422152009829783,0.0,0.001223450939090757,7.065121994031161e-05
69,0.00012287168685267322,-3.949447077411517e-06,0.0005941723714235625,3.7739160961919316e-05
70,0.0,0.0,0.0015034228541337586,-1.4920133403552768e-05
71,-2.3696682464498706e-05,0.0,0.00017860277338950978,-1.1848341232230849e-05
72,0.002929612076531455,0.0,0.003319290854835877,-3.993329822712018e-05
73,0.0005472178339476368,-5.7047568895981135e-06,0.001282692645251878,2.19413726522825e-05
74,-0.0004748113041952551,0.0,0.0006437598736176886,2.281902755837765e-05
75,0.00040898718623831875,0.0,0.0007705810075478251,0.0
76,0.0002321397226610104,0.0,0.0018641390205371218,3.1156749166244555e-05
77,3.7739160961861955e-05,0.0,0.001605230823240315,8.118307881341083e-05
78,0.00010400210637171818,0.0,0.0005059680533614164,-1.535896085659849e-05
79,2.9401439353974692e-05,-0.00010049148674742455,0.00010882920835526555,-1.3164823591279203e-06
80,-2.0624890293178637e-05,0.0,0.0002663682639985843,-3.29120589784034e-05
81,0.000225118483412264,0.00018123573810775265,-4.168860803931788e-05,4.0810953133239385e-05
