frames,XGB 4,XGB 2,RF 4,RF 2
61,0.005916555877774954,0.00020507171575445682,0.007022767254608485,0.0017913809803247612
62,0.0022822662722319365,0.0019420208409428596,0.005216897331520461,0.0005343795949126674
63,0.0058204978704452515,0.0009586471715010703,0.004813655301597371,0.0027581587220032065
64,0.0,0.0,0.006809861146381217,0.019359511931416277
65,0.0017722910270094872,0.0005062930285930634,0.0055855632417738735,0.0020070711890677207
66,0.0031097070313990116,0.0,0.0030927463018361355,0.00047359899036953707
67,0.0,0.0,0.00918179817731367,0.026953418225446498
68,0.01485438272356987,0.0,0.00596777328850985,0.0019913407249863052
69,0.0017466190038248897,0.00031659379601478577,0.002633994979413135,0.0001262709011867578
70,0.0,0.0,0.003869919938492878,0.001256541992848249
71,0.005544411949813366,0.0,0.002006605574861238,0.0005945630143998176
72,0.005047330632805824,0.0,0.007696181791468132,0.00017323037655323192
73,0.010101737454533577,0.00011391666339477524,0.006706118643532572,0.001887711005233297
74,0.005249375477433205,0.0,0.003976803499665483,0.00036359922183905964
75,0.0023976597003638744,0.0,0.0027781402674787493,0.0002886711225662923
76,0.003310725325718522,0.0,0.005987978881258296,0.0019554367200906547
77,0.007496627047657967,0.0,0.004069175310106987,0.0010198250775854533
78,0.0021430517081171274,0.0,0.002925240759593598,0.0003844775475870286
79,0.0011832547606900334,0.0021204128861427307,0.002272756616650864,0.0014801952731122328
80,0.0009509803494438529,0.0,0.002521417242259356,0.0002634097160993319
81,0.004145522136241198,1.663515104155522e-05,0.0032488147325404363,0.0012711072183276195
